epoch_time,current,status,seconds_time,ect
1647315091,4.892474306,Wash,1359,450
1647315093,4.960463881,Wash,1361,448
1647315095,4.947976,Wash,1363,446
1647315097,4.823097189,Wash,1365,444
1647315099,4.961851424,Wash,1367,442
1647315101,4.621903549,Wash,1369,440
1647315103,4.911899899,Wash,1371,438
1647315105,4.412384655,Wash,1373,436
1647315107,5.075629896,Wash,1375,434
1647315109,4.535875924,Wash,1377,432
1647315111,4.920225153,Wash,1379,430
1647315113,3.105319767,Wash,1381,428
1647315115,4.608028126,Wash,1383,426
1647315117,4.846685409,Wash,1385,424
1647315119,4.755107614,Wash,1387,422
1647315121,4.982664559,Wash,1389,420
1647315123,4.670467531,Wash,1391,418
1647315125,4.992377355,Wash,1393,416
1647315127,4.472048976,Wash,1395,414
1647315129,5.074242354,Wash,1397,412
1647315131,5.089505319,Wash,1399,410
1647315133,5.14916964,Wash,1401,408
1647315136,4.979889474,Wash,1404,405
1647315138,4.816159478,Wash,1406,403
1647315140,4.714868886,Wash,1408,401
1647315142,4.993764898,Wash,1410,399
1647315144,4.659367193,Wash,1412,397
1647315146,0.11239093,Wash,1414,395
1647315148,0.106840761,Wash,1416,393
1647315150,0.120716184,Wash,1418,391
1647315152,0.133204065,Wash,1420,389
1647315154,0.453726347,Wash,1422,387
1647315156,0.843625745,Wash,1424,385
1647315158,0.367698721,Wash,1426,383
1647315160,0.208131352,Wash,1428,381
1647315162,0.192868386,Wash,1430,379
1647315164,0.198418555,Wash,1432,377
1647315166,0.206743809,Wash,1434,375
1647315168,0.227556944,Wash,1436,373
1647315170,0.24281991,Wash,1438,371
1647315172,0.259470418,Wash,1440,369
1647315174,0.273345842,Wash,1442,367
1647315176,0.296934062,Wash,1444,365
1647315178,0.310809485,Wash,1446,363
1647315180,0.33717279,Wash,1448,361
1647315182,0.348273128,Wash,1450,359
1647315184,0.364923637,Wash,1452,357
1647315186,0.380186602,Wash,1454,355
1647315188,0.373248891,Wash,1456,353
1647315190,0.33162262,Wash,1458,351
1647315192,0.109615845,Wash,1460,349
1647315194,0.11239093,Wash,1462,347
1647315196,0.111003388,Wash,1464,345
1647315198,0.111003388,Wash,1466,343
1647315200,0.11239093,Wash,1468,341
1647315202,0.109615845,Wash,1470,339
